scenario,seed,method,RMSE_p,RMSE_v,match_rate,n_samples
场景A,11,JPDA/KF,1.667832799697571,1.3314093914728735,0.9578433146372354,5294
场景A,11,TOMHT(KF),1.5089711553608054,1.3669984483201931,0.9813642120499366,5424
场景A,11,Proposed,1.4688816842499732,1.1938596938563286,0.9605572643387008,5309
场景A,22,JPDA/KF,1.5846860039205517,1.0421047486070294,0.9425929907546764,4384
场景A,22,TOMHT(KF),1.4748792408953173,1.1849574789480877,0.984304450655773,4578
场景A,22,Proposed,1.4234209995752676,1.0589593467156508,0.9718340141904966,4520
场景A,33,JPDA/KF,1.6122396619818211,1.2123990060430774,0.9465727893973908,4571
场景A,33,TOMHT(KF),1.48855537668654,1.264221936753681,0.9826050942224064,4745
场景A,33,Proposed,1.4550787339904967,1.1593092756679535,0.9672810105611928,4671
场景B,11,JPDA/KF,1.9521023133031856,1.4887560026041344,0.9056679619455984,6759
场景B,11,TOMHT(KF),1.7228284888322625,1.5824880574391798,0.9782929116977088,7301
场景B,11,Proposed,1.5891763454830057,1.2535945114596276,0.956451829023181,7138
场景B,22,JPDA/KF,1.8175017344045523,1.2794221550127791,0.9286046151463528,5996
场景B,22,TOMHT(KF),1.6443467229336688,1.3964410677634225,0.9834288369211708,6350
场景B,22,Proposed,1.5552363882805975,1.169737701782403,0.9622115533529504,6213
场景B,33,JPDA/KF,1.810139063544357,1.3003677244890512,0.9236809045226132,5882
场景B,33,TOMHT(KF),1.638904581504497,1.4011046814829842,0.9803706030150754,6243
场景B,33,Proposed,1.5595777169137457,1.1868169978057823,0.9602701005025126,6115
场景C,11,JPDA/KF,2.008008360602243,1.6860990465151358,0.8867126103252327,7334
场景C,11,TOMHT(KF),1.8161641972045752,1.7973793342603317,0.978116309998791,8090
场景C,11,Proposed,1.645257568672267,1.2770654826308825,0.9432958529802926,7802
场景C,22,JPDA/KF,1.9416750899246196,1.5311994036290035,0.9160333415052708,7473
场景C,22,TOMHT(KF),1.7692745562797962,1.7080191601046528,0.9760970826182888,7963
场景C,22,Proposed,1.6449542731568594,1.2445780102478312,0.942755577347389,7691
场景C,33,JPDA/KF,1.9506192991547957,1.502550105884421,0.9149720212911152,6704
场景C,33,TOMHT(KF),1.7732863465152828,1.543041133948704,0.976934625358264,7158
场景C,33,Proposed,1.6376761580143988,1.2255987567566922,0.945543878804422,6928
