lane,devSort,reliability
1,1,0.71875
1,2,0.82949
1,3,0.77679
1,6,0.80184
1,7,0.77419
1,8,0.80184
1,10,0.67742
1,12,0.70161
1,13,0.72581
1,14,0.77143
1,16,0.77143
1,17,0.15
1,18,0.82759
1,22,0.82949
1,24,0.74654
1,25,0.80184
1,26,0.77419
1,27,0.75
1,28,0.77679
1,30,0.75
1,31,0.80357
1,32,0.65714
1,34,0.72727
1,35,0.68182
1,36,0.77679
1,37,0.72321
1,38,0.74654
1,39,0.80357
1,42,0.77922
1,43,0.72727
1,44,0.73109
1,45,0.83193
1,47,0.8
1,48,0.26332
1,54,0.64516
1,58,0.72656
1,59,0.72
1,63,0.72414
1,66,0.72321
1,68,0.65025
1,70,0.57931
2,1,0.45249
2,2,0.35556
2,3,0.40199
2,4,0.45517
2,5,0.50526
2,6,0.40191
2,7,0.46082
2,8,0.37857
2,10,0.55932
2,12,0.46721
2,13,0.36129
2,14,0.40179
2,15,0.38839
2,16,0.29721
2,17,0.33088
2,18,0.45
2,19,0.5731
2,20,0.30623
2,21,0.37185
2,22,0.36111
2,23,0.31814
2,24,0.32941
2,25,0.34545
2,26,0.41614
2,27,0.4661
2,28,0.47847
2,29,0.40783
2,30,0.49351
2,31,0.41912
2,32,0.41406
2,33,0.47832
2,34,0.40559
2,35,0.35556
2,36,0.40714
2,37,0.4876
2,38,0.44531
2,39,0.44641
2,40,0.43025
2,41,0.51724
2,42,0.68182
2,43,0.56
2,44,0.53684
2,45,0.3838
2,46,0.35821
2,47,0.5035
2,48,0.31714
2,49,0.4022
2,50,0.42604
2,51,0.52131
2,52,0.30577
2,53,0.38839
2,55,0.42548
2,56,0.41893
2,57,0.39706
2,58,0.40473
2,59,0.45763
2,60,0.46721
2,61,0.38901
2,62,0.34627
2,63,0.38343
2,64,0.39752
2,65,0.39265
2,66,0.3403
2,67,0.36364
2,68,0.37662
2,69,0.3108
2,70,0.40943
2,71,0.4661
2,72,0.42063
